packet_no,timestamp,timestamp_epoch,device,source_ip,destination_ip,protocol,length,source_port,destination_port,tcp_flags,tcp_flags_raw,seq_num,ack_num,window_size,is_syn,is_syn_ack,is_ack,is_fin,is_rst
619,11.832088,1782457390.1995552,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36768,8080,ACK,16,4001718213,1303823638,502,False,False,True,False,False
620,11.832411,1782457390.1998787,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36768,8080,"ACK,RST",20,4001718213,1303823638,502,False,False,False,False,True
621,11.847726,1782457390.2151935,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,50014,8080,SYN,2,886037207,0,64240,True,False,False,False,False
622,11.847772,1782457390.2152395,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,50014,"SYN,ACK",18,3536348122,886037208,65160,False,True,False,False,False
623,11.847826,1782457390.2152934,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,50014,8080,ACK,16,886037208,3536348123,502,False,False,True,False,False
624,11.848017,1782457390.215484,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,50014,8080,"ACK,RST",20,886037208,3536348123,502,False,False,False,False,True
625,11.954065,1782457390.3215322,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,48236,8080,SYN,2,389422158,0,64240,True,False,False,False,False
626,11.954142,1782457390.3216095,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,48236,"SYN,ACK",18,3748069320,389422159,65160,False,True,False,False,False
627,11.95426,1782457390.3217278,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,48236,8080,ACK,16,389422159,3748069321,502,False,False,True,False,False
628,11.954585,1782457390.3220527,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,48236,8080,"ACK,RST",20,389422159,3748069321,502,False,False,False,False,True
629,11.956998,1782457390.324465,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,36774,8080,SYN,2,3286899267,0,64240,True,False,False,False,False
630,11.957074,1782457390.324541,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,36774,"SYN,ACK",18,2111173991,3286899268,65160,False,True,False,False,False
631,11.957191,1782457390.3246582,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36774,8080,ACK,16,3286899268,2111173992,502,False,False,True,False,False
632,11.957563,1782457390.3250308,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36774,8080,"ACK,RST",20,3286899268,2111173992,502,False,False,False,False,True
633,11.972723,1782457390.340191,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,50016,8080,SYN,2,3130839351,0,64240,True,False,False,False,False
634,11.972769,1782457390.3402362,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,50016,"SYN,ACK",18,3049395217,3130839352,65160,False,True,False,False,False
635,11.972823,1782457390.3402905,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,50016,8080,ACK,16,3130839352,3049395218,502,False,False,True,False,False
636,11.973006,1782457390.3404732,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,50016,8080,"ACK,RST",20,3130839352,3049395218,502,False,False,False,False,True
637,12.078667,1782457390.4461343,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,48244,8080,SYN,2,4075800622,0,64240,True,False,False,False,False
638,12.078714,1782457390.446181,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,48244,"SYN,ACK",18,2767282921,4075800623,65160,False,True,False,False,False
639,12.078776,1782457390.4462435,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,48244,8080,ACK,16,4075800623,2767282922,502,False,False,True,False,False
640,12.078978,1782457390.4464452,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,48244,8080,"ACK,RST",20,4075800623,2767282922,502,False,False,False,False,True
641,12.082143,1782457390.4496102,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,36784,8080,SYN,2,2559861822,0,64240,True,False,False,False,False
642,12.082222,1782457390.449689,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,36784,"SYN,ACK",18,2010508422,2559861823,65160,False,True,False,False,False
643,12.082344,1782457390.4498115,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36784,8080,ACK,16,2559861823,2010508423,502,False,False,True,False,False
644,12.082739,1782457390.4502065,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36784,8080,"ACK,RST",20,2559861823,2010508423,502,False,False,False,False,True
645,12.097735,1782457390.4652026,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,50030,8080,SYN,2,1644376403,0,64240,True,False,False,False,False
646,12.097781,1782457390.4652488,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,50030,"SYN,ACK",18,3638212242,1644376404,65160,False,True,False,False,False
647,12.097861,1782457390.465328,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,50030,8080,ACK,16,1644376404,3638212243,502,False,False,True,False,False
648,12.098031,1782457390.4654987,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,50030,8080,"ACK,RST",20,1644376404,3638212243,502,False,False,False,False,True
649,12.204008,1782457390.5714757,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,48250,8080,SYN,2,1656745137,0,64240,True,False,False,False,False
650,12.204088,1782457390.5715559,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,48250,"SYN,ACK",18,1465620602,1656745138,65160,False,True,False,False,False
651,12.204207,1782457390.5716748,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,48250,8080,ACK,16,1656745138,1465620603,502,False,False,True,False,False
652,12.204564,1782457390.5720317,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,48250,8080,"ACK,RST",20,1656745138,1465620603,502,False,False,False,False,True
653,12.206983,1782457390.57445,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,36794,8080,SYN,2,2549655731,0,64240,True,False,False,False,False
654,12.207051,1782457390.5745182,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,36794,"SYN,ACK",18,2944748816,2549655732,65160,False,True,False,False,False
